"externalid","limitname","max_value","remaining_value","eventdate"
"46764307-24f9-4816-9df2-ed37d9beffec","DailyBulkApiBatches",15000,9885,2021-06-16 08:11:19
"936e8654-cb70-43d1-9f02-acc755ac7dd6","DailyBulkApiBatches",15000,9736,2021-06-16 09:14:25
"5a6e333c-e66d-4f8f-89ec-95155a2e48dc","DailyBulkApiBatches",15000,11787,2021-06-16 10:14:37
a66483c3-6003-4936-91c9-78f963bd3148,"DailyBulkApiBatches",15000,11682,2021-06-16 11:13:17
e4d9283e-4d94-4d27-96d1-f807b8f897a7,"DailyBulkApiBatches",15000,11430,2021-06-16 12:13:39
b4323468-e69e-42c0-afc7-90674fe63fd4,"DailyBulkApiBatches",15000,11679,2021-06-16 13:13:00
"33f561fe-6039-4cfd-aa5e-be7f67acd0a7","DailyBulkApiBatches",15000,12257,2021-06-16 16:13:50
"5c4aeaaa-8044-433d-87d3-21d77090aab7","DailyBulkApiBatches",15000,12128,2021-06-16 18:13:32
"286cbee2-3363-486d-8fa8-ea9050a313eb","DailyBulkApiBatches",15000,12316,2021-06-16 20:11:46
b43e55ec-7b77-42ad-9b7a-6b21bff4e123,"DailyBulkApiBatches",15000,12172,2021-06-16 21:14:19
"32a142cf-65b6-4f11-8df3-4c12bcca6190","DailyBulkApiBatches",15000,12057,2021-06-16 23:13:42
c15ae6d2-807d-4e5b-a473-6c2ff8eef15a,"DailyBulkApiBatches",15000,12244,2021-06-17 00:11:50
"1d87bbde-ee8d-435f-b52b-f40b19bfab7e","DailyBulkApiBatches",15000,13436,2021-06-17 02:14:02
aef214ed-077e-49dc-acec-2234361b6d17,"DailyBulkApiBatches",15000,12975,2021-06-17 03:13:28
cb6a9946-fe0f-4307-b41c-fadb967c8da3,"DailyBulkApiBatches",15000,12281,2021-06-17 04:12:10
"19bbee13-a7bb-495a-9914-3092c463439c","DailyBulkApiBatches",15000,11663,2021-06-17 05:13:30
"749e77f8-5215-435d-a424-0ef9130e1ed2","DailyBulkApiBatches",15000,11051,2021-06-17 07:11:47
"39787112-45f2-4f75-8e55-420c8a17853a","DailyBulkApiBatches",15000,10673,2021-06-17 09:11:26
"8241a84a-1169-4066-af9d-2161a768edc2","DailyBulkApiBatches",15000,10904,2021-06-17 10:13:13
"11facf2e-f052-4441-aa7e-dfd47f4f3f20","DailyBulkApiBatches",15000,11051,2021-06-17 11:13:03
f9f51f39-da21-4275-b6eb-cc4715f4aef0,"DailyBulkApiBatches",15000,10456,2021-06-17 12:13:05
b4731373-0487-4298-9e9c-ad51c1fc31eb,"DailyBulkApiBatches",15000,9860,2021-06-17 13:13:26
e87ad2d2-f581-4673-b62d-e542c9285287,"DailyBulkApiBatches",15000,9146,2021-06-17 14:13:31
c3bed481-eb88-4cf8-9a1a-41e21bd65f6c,"DailyBulkApiBatches",15000,8424,2021-06-17 15:14:04
"4890b493-c48a-4c30-920e-fd7e1d2b24cc","DailyBulkApiBatches",15000,7706,2021-06-17 16:13:49
"4e1a53ab-b6fb-4512-88c1-98b4f0a18436","DailyBulkApiBatches",15000,6999,2021-06-17 17:13:04
